browser_platform,browser_major_version,sign_up_method,total_starts,total_completions,completion_rate_pct,sample_quality
Chrome Android,137,email,56,33,58.93,Good Sample
Chrome Android,137,google,74,26,35.14,Good Sample
Chrome Android,136,email,25,18,72.0,Medium Sample
Chrome Android,136,google,59,32,54.24,Good Sample
Chrome Android,135,email,42,35,83.33,Medium Sample
Chrome Android,135,google,72,44,61.11,Good Sample
Chrome Android,134,email,19,11,57.89,Small Sample
Chrome Android,134,google,33,17,51.52,Medium Sample
Chrome iOS,137,google,20,13,65.0,Medium Sample
Chrome iOS,136,email,14,11,78.57,Small Sample
Chrome iOS,136,google,14,10,71.43,Small Sample
Chrome iOS,135,email,12,10,83.33,Small Sample
Chrome iOS,135,google,20,16,80.0,Medium Sample
Chrome macOS,137,email,279,195,69.89,Good Sample
Chrome macOS,137,google,393,259,65.9,Good Sample
Chrome macOS,136,email,493,378,76.67,Good Sample
Chrome macOS,136,google,573,421,73.47,Good Sample
Chrome macOS,135,email,644,503,78.11,Good Sample
Chrome macOS,135,google,804,618,76.87,Good Sample
Chrome macOS,134,email,302,230,76.16,Good Sample
Chrome macOS,134,google,372,305,81.99,Good Sample
Chrome macOS,133,email,56,45,80.36,Good Sample
Chrome macOS,133,google,60,47,78.33,Good Sample
Chrome macOS,132,email,15,11,73.33,Small Sample
Chrome macOS,132,google,15,11,73.33,Small Sample
Chrome macOS,131,email,32,29,90.63,Medium Sample
Chrome macOS,131,google,32,31,96.88,Medium Sample
Chrome macOS,128,email,25,23,92.0,Medium Sample
Chrome macOS,128,google,38,32,84.21,Medium Sample
Chrome macOS,116,email,20,15,75.0,Medium Sample
Chrome macOS,116,google,26,20,76.92,Medium Sample
Safari iOS,18,email,233,174,74.68,Good Sample
Safari iOS,18,google,229,152,66.38,Good Sample
Safari iOS,17,email,11,9,81.82,Small Sample
Safari iOS,17,google,25,17,68.0,Medium Sample
Safari macOS,18,email,1201,885,73.69,Good Sample
Safari macOS,18,google,1127,817,72.49,Good Sample
Safari macOS,17,email,434,340,78.34,Good Sample
Safari macOS,17,google,351,263,74.93,Good Sample
Safari macOS,16,email,161,129,80.12,Good Sample
Safari macOS,16,google,137,104,75.91,Good Sample
